Antler,North Dakota,3413,US-Canada Border,2020-01-01,Truck Containers Empty,100,48.999,-101.296,POINT (-101.296055 48.999472)
Columbus,New Mexico,2406,US-Mexico Border,2020-01-01,Trucks,1032,31.784,-107.628,POINT (-107.627948 31.783742)
Trout River,New York,715,US-Canada Border,2020-01-01,Personal Vehicle Passengers,12443,44.992,-74.308,POINT (-74.308172 44.992058)
Roma,Texas,2310,US-Mexico Border,2020-01-01,Trucks,1499,26.404,-99.019,POINT (-99.018981 26.403928)
Buffalo Niagara Falls,New York,901,US-Canada Border,2020-01-01,Train Passengers,1092,43.095,-79.056,POINT (-79.055847 43.09549)
Grand Portage,Minnesota,3613,US-Canada Border,2020-01-01,Trucks,1137,48.001,-89.585,POINT (-89.58515 48.001427)
Blaine,Washington,3004,US-Canada Border,2020-01-01,Trains,162,48.994,-122.749,POINT (-122.748884 48.994045)
Madawaska,Maine,109,US-Canada Border,2020-01-01,Truck Containers Empty,164,47.36,-68.329,POINT (-68.328684 47.360052)
Alcan,Alaska,3104,US-Canada Border,2020-01-01,Personal Vehicle Passengers,1350,62.615,-141.001,POINT (-141.001444 62.614961)
Alexandria Bay,New York,708,US-Canada Border,2020-01-01,Personal Vehicle Passengers,64858,44.347,-75.984,POINT (-75.983592 44.347229)
Hannah,North Dakota,3408,US-Canada Border,2020-01-01,Personal Vehicles,60,49,-98.694,POINT (-98.693777 49.000138)
Progreso,Texas,2309,US-Mexico Border,2020-01-01,Trucks,5074,26.062,-97.95,POINT (-97.949958 26.062133)
Blaine,Washington,3004,US-Canada Border,2020-01-01,Rail Containers Loaded,6740,48.994,-122.749,POINT (-122.748884 48.994045)
Calais,Maine,115,US-Canada Border,2020-01-01,Truck Containers Loaded,3283,45.189,-67.275,POINT (-67.275381 45.188548)
Otay Mesa,California,2506,US-Mexico Border,2020-01-01,Truck Containers Loaded,55407,32.55,-116.939,POINT (-116.938538 32.55033)
Portal,North Dakota,3403,US-Canada Border,2020-01-01,Pedestrians,115,48.999,-102.552,POINT (-102.551944 48.998944)
Eagle Pass,Texas,2303,US-Mexico Border,2020-01-01,Trains,274,28.705,-100.512,POINT (-100.511977 28.705483)
Beecher Falls,Vermont,206,US-Canada Border,2020-01-01,Truck Containers Empty,589,45.013,-71.505,POINT (-71.505309 45.013411)
Opheim,Montana,3317,US-Canada Border,2020-01-01,Truck Containers Loaded,1,49,-106.378,POINT (-106.377583 48.999527)
Douglas,Arizona,2601,US-Mexico Border,2020-01-01,Buses,34,31.334,-109.56,POINT (-109.560344 31.334043)
Blaine,Washington,3004,US-Canada Border,2020-01-01,Rail Containers Empty,10287,48.994,-122.749,POINT (-122.748884 48.994045)
Alexandria Bay,New York,708,US-Canada Border,2020-01-01,Trucks,16513,44.347,-75.984,POINT (-75.983592 44.347229)
Turner,Montana,3306,US-Canada Border,2020-01-01,Bus Passengers,48,49,-108.388,POINT (-108.387916 48.999527)
Pembina,North Dakota,3401,US-Canada Border,2020-01-01,Bus Passengers,848,49,-97.237,POINT (-97.237036 49.000453)
Alexandria Bay,New York,708,US-Canada Border,2020-01-01,Buses,30,44.347,-75.984,POINT (-75.983592 44.347229)
Dalton Cache,Alaska,3106,US-Canada Border,2020-01-01,Truck Containers Empty,61,59.451,-136.362,POINT (-136.361944 59.450556)
Roseau,Minnesota,3426,US-Canada Border,2020-01-01,Trucks,165,49,-95.766,POINT (-95.766469 48.999538)
Kenneth G Ward,Washington,3023,US-Canada Border,2020-01-01,Pedestrians,44,49.002,-122.485,POINT (-122.485027 49.002277)
Hidalgo,Texas,2305,US-Mexico Border,2020-01-01,Buses,1671,26.095,-98.271,POINT (-98.271092 26.095032)
Sumas,Washington,3009,US-Canada Border,2020-01-01,Rail Containers Loaded,77,49.002,-122.265,POINT (-122.264805 49.002388)
Whitlash,Montana,3321,US-Canada Border,2020-01-01,Personal Vehicle Passengers,65,48.997,-111.258,POINT (-111.257916 48.99725)
Sault Sainte Marie,Michigan,3803,US-Canada Border,2020-01-01,Trucks,3549,46.509,-84.361,POINT (-84.360833 46.508611)
Wildhorse,Montana,3323,US-Canada Border,2020-01-01,Personal Vehicle Passengers,1022,48.999,-110.215,POINT (-110.215083 48.999361)
San Luis,Arizona,2608,US-Mexico Border,2020-01-01,Bus Passengers,6,32.485,-114.782,POINT (-114.7822222 32.485)
Northgate,North Dakota,3406,US-Canada Border,2020-01-01,Personal Vehicle Passengers,1525,48.999,-102.275,POINT (-102.27475 48.998833)
Raymond,Montana,3301,US-Canada Border,2020-01-01,Trucks,1998,48.999,-104.574,POINT (-104.574333 48.999194)
Piegan,Montana,3316,US-Canada Border,2020-01-01,Truck Containers Loaded,192,48.998,-113.379,POINT (-113.378777 48.998083)
Nighthawk,Washington,3011,US-Canada Border,2020-01-01,Personal Vehicles,183,49,-119.671,POINT (-119.67103 49.000144)
Sumas,Washington,3009,US-Canada Border,2020-01-01,Trucks,11765,49.002,-122.265,POINT (-122.264805 49.002388)
Champlain Rouses Point,New York,712,US-Canada Border,2020-01-01,Rail Containers Empty,805,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Portal,North Dakota,3403,US-Canada Border,2020-01-01,Bus Passengers,251,48.999,-102.552,POINT (-102.551944 48.998944)
Otay Mesa,California,2506,US-Mexico Border,2020-01-01,Personal Vehicles,499813,32.55,-116.939,POINT (-116.938538 32.55033)
Ogdensburg,New York,701,US-Canada Border,2020-01-01,Trucks,3288,44.733,-75.458,POINT (-75.4577501759 44.7330898624)
Santa Teresa,New Mexico,2408,US-Mexico Border,2020-01-01,Personal Vehicle Passengers,108489,31.784,-106.679,POINT (-106.679437 31.783939)
Houlton,Maine,106,US-Canada Border,2020-01-01,Trucks,7253,46.135,-67.781,POINT (-67.781288 46.134879)
Northgate,North Dakota,3406,US-Canada Border,2020-01-01,Trains,14,48.999,-102.275,POINT (-102.27475 48.998833)
Roseau,Minnesota,3426,US-Canada Border,2020-01-01,Personal Vehicles,2733,49,-95.766,POINT (-95.766469 48.999538)
San Luis,Arizona,2608,US-Mexico Border,2020-01-01,Truck Containers Loaded,2627,32.485,-114.782,POINT (-114.7822222 32.485)
Nogales,Arizona,2604,US-Mexico Border,2020-01-01,Trucks,34948,31.333,-110.943,POINT (-110.942516 31.332839)
Naco,Arizona,2603,US-Mexico Border,2020-01-01,Pedestrians,6797,31.334,-109.948,POINT (-109.948413 31.334084)
Skagway,Alaska,3103,US-Canada Border,2020-01-01,Personal Vehicles,357,59.63,-135.164,POINT (-135.164444 59.629722)
Turner,Montana,3306,US-Canada Border,2020-01-01,Trucks,17,49,-108.388,POINT (-108.387916 48.999527)
Danville,Washington,3012,US-Canada Border,2020-01-01,Truck Containers Empty,37,49,-118.504,POINT (-118.503722 49.000083)
Northgate,North Dakota,3406,US-Canada Border,2020-01-01,Truck Containers Loaded,283,48.999,-102.275,POINT (-102.27475 48.998833)
Eagle Pass,Texas,2303,US-Mexico Border,2020-01-01,Rail Containers Empty,15226,28.705,-100.512,POINT (-100.511977 28.705483)
Eastport,Idaho,3302,US-Canada Border,2020-01-01,Personal Vehicle Passengers,6991,49.001,-116.181,POINT (-116.181027 49.000555)
Calais,Maine,115,US-Canada Border,2020-01-01,Buses,4,45.189,-67.275,POINT (-67.275381 45.188548)
Massena,New York,704,US-Canada Border,2020-01-01,Personal Vehicles,66466,44.991,-74.74,POINT (-74.739722 44.990556)
Pembina,North Dakota,3401,US-Canada Border,2020-01-01,Trucks,18668,49,-97.237,POINT (-97.237036 49.000453)
Danville,Washington,3012,US-Canada Border,2020-01-01,Truck Containers Loaded,23,49,-118.504,POINT (-118.503722 49.000083)
Grand Portage,Minnesota,3613,US-Canada Border,2020-01-01,Truck Containers Empty,361,48.001,-89.585,POINT (-89.58515 48.001427)
Andrade,California,2502,US-Mexico Border,2020-01-01,Personal Vehicle Passengers,87090,32.718,-114.728,POINT (-114.72832 32.718143)
Warroad,Minnesota,3423,US-Canada Border,2020-01-01,Bus Passengers,307,48.999,-95.377,POINT (-95.376555 48.999)
Presidio,Texas,2403,US-Mexico Border,2020-01-01,Truck Containers Empty,327,29.562,-104.395,POINT (-104.394907 29.561827)
Otay Mesa,California,2506,US-Mexico Border,2020-01-01,Buses,397,32.55,-116.939,POINT (-116.938538 32.55033)
Eagle Pass,Texas,2303,US-Mexico Border,2020-01-01,Personal Vehicles,239675,28.705,-100.512,POINT (-100.511977 28.705483)
Eastport,Maine,103,US-Canada Border,2020-01-01,Truck Containers Loaded,88,44.859,-66.98,POINT (-66.98007566 44.8594395785)
Santa Teresa,New Mexico,2408,US-Mexico Border,2020-01-01,Personal Vehicles,46478,31.784,-106.679,POINT (-106.679437 31.783939)
Buffalo Niagara Falls,New York,901,US-Canada Border,2020-01-01,Pedestrians,3281,43.095,-79.056,POINT (-79.055847 43.09549)
Nogales,Arizona,2604,US-Mexico Border,2020-01-01,Pedestrians,285482,31.333,-110.943,POINT (-110.942516 31.332839)
Port Huron,Michigan,3802,US-Canada Border,2020-01-01,Buses,142,42.999,-82.424,POINT (-82.423611 42.998611)
Whitlash,Montana,3321,US-Canada Border,2020-01-01,Personal Vehicles,35,48.997,-111.258,POINT (-111.257916 48.99725)
San Ysidro,California,2504,US-Mexico Border,2020-01-01,Pedestrians,831154,32.543,-117.029,POINT (-117.028761 32.542528)
Roseau,Minnesota,3426,US-Canada Border,2020-01-01,Personal Vehicle Passengers,4982,49,-95.766,POINT (-95.766469 48.999538)
Eagle Pass,Texas,2303,US-Mexico Border,2020-01-01,Personal Vehicle Passengers,505610,28.705,-100.512,POINT (-100.511977 28.705483)
Raymond,Montana,3301,US-Canada Border,2020-01-01,Personal Vehicles,1531,48.999,-104.574,POINT (-104.574333 48.999194)
Norton,Vermont,211,US-Canada Border,2020-01-01,Trains,22,45.011,-71.793,POINT (-71.793219 45.010771)
Porthill,Idaho,3308,US-Canada Border,2020-01-01,Personal Vehicles,7333,49,-116.499,POINT (-116.49925 48.999861)
Sault Sainte Marie,Michigan,3803,US-Canada Border,2020-01-01,Truck Containers Loaded,3177,46.509,-84.361,POINT (-84.360833 46.508611)
Otay Mesa,California,2506,US-Mexico Border,2020-01-01,Personal Vehicle Passengers,802567,32.55,-116.939,POINT (-116.938538 32.55033)
Dunseith,North Dakota,3422,US-Canada Border,2020-01-01,Personal Vehicles,2762,48.999,-100.052,POINT (-100.052166 48.999277)
Brownsville,Texas,2301,US-Mexico Border,2020-01-01,Personal Vehicles,390959,25.952,-97.401,POINT (-97.40067 25.95155)
Neche,North Dakota,3404,US-Canada Border,2020-01-01,Personal Vehicles,2512,49.001,-97.557,POINT (-97.557333 49.000527)
Metaline Falls,Washington,3025,US-Canada Border,2020-01-01,Personal Vehicle Passengers,4684,49,-117.299,POINT (-117.299444 48.999972)
Eastport,Idaho,3302,US-Canada Border,2020-01-01,Buses,3,49.001,-116.181,POINT (-116.181027 49.000555)
International Falls,Minnesota,3604,US-Canada Border,2020-01-01,Truck Containers Empty,595,48.608,-93.401,POINT (-93.401355 48.6078)
Sweetgrass,Montana,3310,US-Canada Border,2020-01-01,Rail Containers Empty,605,48.998,-111.96,POINT (-111.959611 48.998388)
Columbus,New Mexico,2406,US-Mexico Border,2020-01-01,Bus Passengers,1417,31.784,-107.628,POINT (-107.627948 31.783742)
Derby Line,Vermont,209,US-Canada Border,2020-01-01,Truck Containers Empty,985,45.006,-72.099,POINT (-72.099279 45.005739)
Hansboro,North Dakota,3415,US-Canada Border,2020-01-01,Personal Vehicle Passengers,612,49,-99.347,POINT (-99.346527 48.999583)
Calexico East,California,2507,US-Mexico Border,2020-01-01,Truck Containers Empty,15451,32.673,-115.388,POINT (-115.388018 32.673389)
Champlain Rouses Point,New York,712,US-Canada Border,2020-01-01,Pedestrians,311,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Sumas,Washington,3009,US-Canada Border,2020-01-01,Truck Containers Loaded,8812,49.002,-122.265,POINT (-122.264805 49.002388)
Sault Sainte Marie,Michigan,3803,US-Canada Border,2020-01-01,Personal Vehicles,43171,46.509,-84.361,POINT (-84.360833 46.508611)
Bridgewater,Maine,127,US-Canada Border,2020-01-01,Personal Vehicles,2660,46.45,-67.785,POINT (-67.78484 46.450335)
Pembina,North Dakota,3401,US-Canada Border,2020-01-01,Buses,31,49,-97.237,POINT (-97.237036 49.000453)
Morgan,Montana,3319,US-Canada Border,2020-01-01,Truck Containers Loaded,12,49,-107.832,POINT (-107.831819 48.999829)
Frontier,Washington,3020,US-Canada Border,2020-01-01,Bus Passengers,240,49,-117.832,POINT (-117.831527 49.0005)
Pembina,North Dakota,3401,US-Canada Border,2020-01-01,Truck Containers Empty,3915,49,-97.237,POINT (-97.237036 49.000453)
Pembina,North Dakota,3401,US-Canada Border,2020-01-01,Personal Vehicles,14329,49,-97.237,POINT (-97.237036 49.000453)
Limestone,Maine,118,US-Canada Border,2020-01-01,Personal Vehicle Passengers,1221,46.925,-67.79,POINT (-67.789597 46.924555)
Fort Kent,Maine,110,US-Canada Border,2020-01-01,Pedestrians,70,47.249,-68.604,POINT (-68.603918 47.249206)
Sasabe,Arizona,2606,US-Mexico Border,2020-01-01,Personal Vehicle Passengers,4744,31.483,-111.544,POINT (-111.544363 31.483039)
Sumas,Washington,3009,US-Canada Border,2020-01-01,Truck Containers Empty,3327,49.002,-122.265,POINT (-122.264805 49.002388)
Eastport,Idaho,3302,US-Canada Border,2020-01-01,Trucks,4615,49.001,-116.181,POINT (-116.181027 49.000555)
Nighthawk,Washington,3011,US-Canada Border,2020-01-01,Pedestrians,1,49,-119.671,POINT (-119.67103 49.000144)
Grand Portage,Minnesota,3613,US-Canada Border,2020-01-01,Buses,30,48.001,-89.585,POINT (-89.58515 48.001427)
Santa Teresa,New Mexico,2408,US-Mexico Border,2020-01-01,Trucks,11864,31.784,-106.679,POINT (-106.679437 31.783939)
Portal,North Dakota,3403,US-Canada Border,2020-01-01,Train Passengers,510,48.999,-102.552,POINT (-102.551944 48.998944)
Opheim,Montana,3317,US-Canada Border,2020-01-01,Truck Containers Empty,2,49,-106.378,POINT (-106.377583 48.999527)
Jackman,Maine,104,US-Canada Border,2020-01-01,Train Passengers,36,45.806,-70.397,POINT (-70.396722 45.805661)
Baudette,Minnesota,3424,US-Canada Border,2020-01-01,Personal Vehicles,11518,48.719,-94.59,POINT (-94.590467 48.719109)
Roma,Texas,2310,US-Mexico Border,2020-01-01,Pedestrians,24655,26.404,-99.019,POINT (-99.018981 26.403928)
Baudette,Minnesota,3424,US-Canada Border,2020-01-01,Trucks,610,48.719,-94.59,POINT (-94.590467 48.719109)
